Allocation Code,Buy vs DAT CallOut,Carrier Id,Destination Name,Equipment Type,Hazmat,Lane,Lanes with Multiple Carriers,Loads with DAT Info,Mileage Band Lower,Mileage Band Upper,Order Type,Tier,Buy (Non DAT),Freight Charge,Freight Pay,Fuel Charge,Sell (Non DAT)
XPOCHA,At or Below Market,JRXPHOMI,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,At or Below Market,MATRPHTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,950,638.25,950,83.02,638
XPOGEXP,At or Below Market,IEWDIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,0,0,0.01,0,0
XPOGEXP,At or Below Market,BBWOWIIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,2000,1731.55,2000,121.94,1732
XPOGEXP,At or Below Market,BBWOWIIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1100,1012.1,1100,121.94,1012
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,EXCECOOH,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1400,1012.1,1400,121.94,1012
XPOGEXP,At or Below Market,NISECHIL,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,0,0.01,0.01,0,0
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOGEXP,At or Below Market,BBWOWIIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1,0,1,0,0
XPOCHA,At or Below Market,RTMEPETX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,950,638.25,950,83.02,638
XPOCHA,At or Below Market,RTMEPETX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,950,638.25,950,83.02,638
XPOGEXP,At or Below Market,IEWDIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1940,1012.1,1940,128.04,1012
XPOCHA,At or Below Market,CARDBUGA,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,800,643.44,800,77.84,643
XPOCHA,At or Below Market,COMMEAGA,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,COMMEAGA,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOGEXP,At or Below Market,BIAGWOIL,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,2500,2241.3,2500,313.78,2241
XPOCHA,Over Market,UPTRHITX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1200,643.44,1200,77.84,643
XPOCHA,Over Market,UPTRHITX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1200,643.44,1200,77.84,643
XPOCHA,At or Below Market,HAASALMI,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,SALECHNC,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,750,643.44,750,77.84,643
XPOCHA,Over Market,MOBCARTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1100,643.44,1100,77.84,643
XPOCHA,At or Below Market,STRAMIFL,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1000,643.44,1000,77.84,643
XPOGEXP,At or Below Market,BBWOWIIL,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,900,667.38,900,39.04,667
XPOCHA,At or Below Market,INTEBRT2,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1000,643.44,1000,77.84,643
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOCHA,At or Below Market,MSCEGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,700,643.44,700,77.84,643
XPOCHA,At or Below Market,MSCEGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,700,643.44,700,77.84,643
XPOCHA,At or Below Market,RTMEPETX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,950,643.44,950,77.84,643
XPOCHA,At or Below Market,RTMEPETX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,950,643.44,950,77.84,643
XPOGEXP,At or Below Market,ROYAMIM2,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1200,1012.1,1200,128.04,1012
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,ALLTMICA,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1100,1012.1,1100,128.04,1012
XPOGEXP,At or Below Market,ANNUDEGA,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,600,667.38,600,39.04,667
XPOGEXP,At or Below Market,DNRELOKY,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,2500,2241.3,2500,313.78,2241
XPOGEXP,At or Below Market,ANNUDEGA,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,2500,2241.3,2500,313.78,2241
XPOCHA,At or Below Market,MEYEJAIN,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,800,648.63,800,77.84,649
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,77.84,643
XPOGEXP,At or Below Market,NFLLRITX,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1200,1012.1,1200,128.04,1012
XPOGEXP,At or Below Market,EXCECOOH,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,128.04,1012
XPOGEXP,At or Below Market,BIAGWOIL,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,ROYAMIM2,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,128.04,1012
XPOGTEM,At or Below Market,ALBEREPA,Saddle Creek (Sams Club # 6274,Reefer - 53,0,"Dallas, TX -- Jacksonville, FL",Multi,1,1000,1500,Truckload Contract,Strategic,2000,1513.17,2000,202.75,1513
XPOCHA,At or Below Market,INKAAUIL,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,800,643.44,800,77.84,643
XPOCHA,At or Below Market,SOUTPHTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,925,643.44,925,77.84,643
XPOCHA,At or Below Market,AVFLBRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,643.44,900,83.02,643
XPOCHA,At or Below Market,THEQLAFL,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,800,643.44,800,77.84,643
XPOCHA,At or Below Market,TMEXGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,750,648.63,750,77.84,649
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,897,648.63,897,77.84,649
XPOGEXP,At or Below Market,BBWOWIIL,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOCHA,At or Below Market,JMPACAMO,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,800,643.44,800,83.02,643
XPOCHA,At or Below Market,GACTBRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,850,643.44,850,83.02,643
XPOCHA,At or Below Market,FETRWEMI,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,850,643.44,850,83.02,643
XPOCHA,At or Below Market,CHICCHI3,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1000,643.44,1000,83.02,643
XPOGEXP,At or Below Market,TMTRSTGA,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1100,1012.1,1100,128.04,1012
XPOGEXP,At or Below Market,EXCECOOH,DFW7,Van - 53 Feet,0,"Hazleton, PA -- Fort Worth, TX",Multi,0,1000,1500,Expedited,Strategic,2400,2241.3,2400,313.78,2241
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,950,1012.1,950,128.04,1012
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,950,1012.1,950,128.04,1012
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,950,1012.1,950,128.04,1012
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,950,1012.1,950,128.04,1012
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,39.04,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,1,0,1,0,0
